Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.01471,0.0,8.45,2.0,2.5685424805,2.0,1.284,3.965,4.267,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7166,0.2689,0.002575,0.0007035,0.006391,-1.0,0.01455,1.56,1.628,1.642,1.602
0.01471,0.0,8.45,2.0089201927,2.5689198971,2.009,1.292,3.9663,4.266,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7166,0.2689,0.002575,0.0007035,0.006391,-1.0,0.01454,1.539,1.611,1.624,1.587
0.01471,0.0,8.45,2.0499999523,2.5706083775,2.05,1.331,3.9719,4.258,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7167,0.2688,0.002575,0.0007034,0.006391,-1.0,0.01454,1.442,1.536,1.545,1.521
0.01471,0.0,8.45,2.0999999046,2.5725615025,2.099,1.377,3.9784,4.248,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7166,0.2688,0.002575,0.0007034,0.006391,-1.0,0.01453,1.327,1.447,1.451,1.441
0.01471,0.0,8.45,2.1449434757,2.5742282867,2.144,1.418,3.984,4.239,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7167,0.2688,0.002575,0.0007034,0.006391,-1.0,0.01454,1.225,1.369,1.369,1.37
0.01471,0.0,8.45,2.1500000954,2.574410677,2.149,1.422,3.9846,4.238,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7167,0.2688,0.002575,0.0007034,0.006391,-1.0,0.01454,1.214,1.36,1.36,1.362
0.01471,0.0,8.45,2.2000000477,2.5761635303,2.199,1.467,3.9905,4.227,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7167,0.2688,0.002575,0.0007034,0.006391,-1.0,0.01452,1.102,1.274,1.269,1.283
0.01471,0.0,8.45,2.25,2.5778269768,2.249,1.511,3.9962,4.215,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7167,0.2688,0.002575,0.0007033,0.00639,-1.0,0.01449,0.992,1.189,1.181,1.205
0.01471,0.0,8.45,2.2999999523,2.5794074535,2.299,1.555,4.0015,4.203,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7167,0.2688,0.002575,0.0007033,0.00639,-1.0,0.01449,0.883,1.105,1.094,1.127
0.01471,0.0,8.45,2.3335270882,2.5804238319,2.332,1.583,4.005,4.194,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7167,0.2688,0.002575,0.0007033,0.00639,-1.0,0.01449,0.811,1.049,1.036,1.074
